host_id,host_since,host_since_date,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group,latitude,longitude,property_type,room_type,property_accommodates,property_bathrooms,price,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,first_review,first_review_date,last_review,last_review_date,review_scores_rating,instant_bookable
191091, 8-04-2010,2010-08-04,Within A Few Hours,Superhost,Host has a Profile Picture,Host identity verified,Tribeca,Manhattan,40.721,-74.00971,Entire rental unit,Entire home/apt,6,1 bath,250,30,90,Host has availability,298,13,1/4/20,2020-01-04,12/29/20,2020-12-29,4.85,Host not instant bookable
244071, 9-24-2010,2010-09-24,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Ditmars Steinway,Queens,40.77868,-73.90652,Entire rental unit,Entire home/apt,4,1 bath,140,4,1125,Host has availability,137,14,10/5/21,2021-10-05,11/9/21,2021-11-09,4.93,Host not instant bookable
503800, 4-12-2011,2011-04-12,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Crown Heights,Brooklyn,40.67654,-73.94629,Entire rental unit,Entire home/apt,4,1 bath,101,1,14,Host has availability,128,16,5/20/21,2021-05-20,11/7/21,2021-11-07,4.88,Host instant bookable
262812, 10-15-2010,2010-10-15,Within A Day,Not a Superhost,Host has a Profile Picture,Host identity verified,Williamsburg,Brooklyn,40.71983,-73.95992,Entire rental unit,Entire home/apt,6,1 bath,250,30,90,Host has availability,77,57,5/5/19,2019-05-05,12/11/19,2019-12-11,4.45,Host not instant bookable
663384,6/4/11,2011-06-04,Within A Day,Superhost,Host has a Profile Picture,Host identity verified,Park Slope,Brooklyn,40.67494,-73.97792,Entire residential home,Entire home/apt,5,2.5 baths,275,5,30,Host has availability,0,29,1/2/19,2019-01-02,11/28/21,2021-11-28,4.93,Host not instant bookable
314941,12/10/10,2010-12-10,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Nolita,Manhattan,40.72212,-73.99638,Entire rental unit,Entire home/apt,6,1 bath,526,1,365,Host has availability,102,18,7/10/20,2020-07-10,8/14/21,2021-08-14,4.94,Host not instant bookable
65610,12/25/09,2009-12-25,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity verified,Williamsburg,Brooklyn,40.72136,-73.95674,Entire condominium (condo),Entire home/apt,2,1 bath,150,60,365,Host has availability,77,1,12/19/20,2020-12-19,12/19/20,2020-12-19,5,Host not instant bookable
1434931,11/23/11,2011-11-23,A Few Days Or More,Not a Superhost,Host has a Profile Picture,Host identity verified,Clinton Hill,Brooklyn,40.68321,-73.96741,Entire rental unit,Entire home/apt,3,1 bath,135,30,120,Host has availability,318,11,5/3/19,2019-05-03,3/4/20,2020-03-04,4.9,Host not instant bookable
1209728,9/26/11,2011-09-26,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity not verified,Bayside,Queens,40.75537,-73.77159,Entire guest suite,Entire home/apt,5,1 bath,100,3,1125,Host has availability,332,1,11/8/21,2021-11-08,11/8/21,2021-11-08,5,Host not instant bookable
1681546,1/31/12,2012-01-31,Within An Hour,Superhost,Host has a Profile Picture,Host identity not verified,Chinatown,Manhattan,40.71502,-73.9917,Entire loft,Entire home/apt,2,1 bath,200,14,130,Host has availability,219,19,1/1/20,2020-01-01,10/31/21,2021-10-31,4.78,Host not instant bookable
718349,6/19/11,2011-06-19,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Upper West Side,Manhattan,40.79903,-73.96297,Entire rental unit,Entire home/apt,2,1 bath,169,3,1125,Host has availability,254,6,10/1/20,2020-10-01,2/25/21,2021-02-25,4.67,Host not instant bookable
4153591,11/14/12,2012-11-14,Within A Day,Superhost,Host has a Profile Picture,Host identity verified,Prospect Heights,Brooklyn,40.67617,-73.96849,Entire rental unit,Entire home/apt,4,1 bath,225,30,180,Host has availability,136,18,9/27/19,2019-09-27,8/31/21,2021-08-31,5,Host not instant bookable
3820014,10/9/12,2012-10-09,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Williamsburg,Brooklyn,40.71912,-73.95976,Private room in rental unit,Private room,1,1 shared bath,120,3,1125,Host has availability,72,13,4/13/20,2020-04-13,11/16/21,2021-11-16,4.92,Host instant bookable
4065620,11/5/12,2012-11-05,Within A Day,Not a Superhost,Host has a Profile Picture,Host identity verified,Bedford-Stuyvesant,Brooklyn,40.6864,-73.93655,Entire residential home,Entire home/apt,6,1 bath,158,30,1125,Host has availability,270,4,9/11/19,2019-09-11,8/22/21,2021-08-22,4.75,Host not instant bookable
1658532,1/26/12,2012-01-26,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity verified,Park Slope,Brooklyn,40.68205,-73.97765,Private room in rental unit,Private room,2,1 shared bath,150,1,1125,Host has availability,76,3,10/17/21,2021-10-17,11/7/21,2021-11-07,5,Host not instant bookable
4103779,11/9/12,2012-11-09,Within A Few Hours,Superhost,Host has a Profile Picture,Host identity not verified,Flatbush,Brooklyn,40.6522,-73.96309,Entire rental unit,Entire home/apt,5,1 bath,110,30,90,Host has availability,2,6,1/3/20,2020-01-03,3/31/21,2021-03-31,5,Host not instant bookable
4445616,12/19/12,2012-12-19,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity verified,Midtown,Manhattan,40.74225,-73.98343,Entire rental unit,Entire home/apt,3,1 bath,199,1,30,Host has availability,0,8,12/29/19,2019-12-29,10/11/21,2021-10-11,4.88,Host instant bookable
4924435,1/31/13,2013-01-31,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Greenwich Village,Manhattan,40.73137,-73.99851,Entire rental unit,Entire home/apt,2,1 bath,250,30,30,Host has availability,157,4,12/29/19,2019-12-29,1/1/19,2019-01-01,4.75,Host not instant bookable
15145088,5/5/14,2014-05-05,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Upper West Side,Manhattan,40.78687,-73.9746,Entire rental unit,Entire home/apt,3,1 bath,183,30,1125,Host has availability,315,20,6/15/19,2019-06-15,8/15/21,2021-08-15,4.89,Host not instant bookable
5468033,3/14/13,2013-03-14,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity verified,West Village,Manhattan,40.73196,-74.00076,Entire rental unit,Entire home/apt,3,1 bath,300,30,365,Host has availability,303,119,4/27/19,2019-04-27,11/1/21,2021-11-01,4.64,Host not instant bookable
811651,7/12/11,2011-07-12,A Few Days Or More,Not a Superhost,Host has a Profile Picture,Host identity verified,Gramercy,Manhattan,40.73525,-73.98627,Private room in rental unit,Private room,2,1 bath,169,30,60,Host has availability,157,6,10/26/19,2019-10-26,12/6/19,2019-12-06,5,Host not instant bookable
1537501,12/26/11,2011-12-26,Within A Few Hours,Superhost,Host has a Profile Picture,Host identity verified,Park Slope,Brooklyn,40.66946,-73.98515,Entire rental unit,Entire home/apt,3,1 bath,180,30,1125,Host has availability,320,47,11/14/20,2020-11-14,5/27/21,2021-05-27,4.72,Host not instant bookable
6083756,4/25/13,2013-04-25,Within A Day,Superhost,Host has a Profile Picture,Host identity verified,Lower East Side,Manhattan,40.7225,-73.99287,Entire condominium (condo),Entire home/apt,2,1 bath,217,30,369,Host has availability,89,2,5/31/21,2021-05-31,9/30/21,2021-09-30,5,Host not instant bookable
7614224,7/20/13,2013-07-20,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity not verified,Greenpoint,Brooklyn,40.72655,-73.94304,Entire rental unit,Entire home/apt,3,1 bath,168,2,21,Host has availability,51,3,11/27/21,2021-11-27,11/13/21,2021-11-13,5,Host not instant bookable
228583,9/8/10,2010-09-08,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity verified,Williamsburg,Brooklyn,40.712,-73.95286,Entire rental unit,Entire home/apt,2,1 bath,185,30,1125,Host has availability,320,15,9/4/19,2019-09-04,9/27/21,2021-09-27,4.77,Host not instant bookable
7738881,7/26/13,2013-07-26,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity verified,Crown Heights,Brooklyn,40.6719,-73.92711,Entire rental unit,Entire home/apt,5,1 bath,150,30,1125,Host has availability,311,1,11/7/21,2021-11-07,11/7/21,2021-11-07,5,Host instant bookable
9946315,11/11/13,2013-11-11,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Williamsburg,Brooklyn,40.71629,-73.95362,Entire rental unit,Entire home/apt,2,1 bath,246,8,365,Host has availability,140,95,6/14/19,2019-06-14,11/28/21,2021-11-28,4.99,Host not instant bookable
1556814,1/2/12,2012-01-02,Within An Hour,Not a Superhost,Host has a Profile Picture,Host identity verified,Harlem,Manhattan,40.81383,-73.94199,Entire rental unit,Entire home/apt,7,1 bath,257,30,360,Host has availability,333,24,4/16/19,2019-04-16,4/17/21,2021-04-17,4.64,Host not instant bookable
10458021,12/5/13,2013-12-05,Within A Few Hours,Not a Superhost,Host has a Profile Picture,Host identity verified,Bedford-Stuyvesant,Brooklyn,40.6824,-73.9505,Entire rental unit,Entire home/apt,2,1 bath,120,30,90,Host has availability,169,2,11/1/21,2021-11-01,8/13/21,2021-08-13,5,Host not instant bookable
7503643,7/15/13,2013-07-15,Within A Day,Not a Superhost,Host has a Profile Picture,Host identity verified,Greenpoint,Brooklyn,40.72732,-73.94185,Entire serviced apartment,Entire home/apt,6,1 bath,199,30,180,Host has availability,307,13,2/17/21,2021-02-17,11/13/21,2021-11-13,4.92,Host not instant bookable
9265204,10/6/13,2013-10-06,Within A Few Hours,Not a Superhost,Host has a Profile Picture,Host identity verified,Williamsburg,Brooklyn,40.70585,-73.94838,Entire rental unit,Entire home/apt,4,1 bath,241,3,20,Host has availability,204,31,7/22/19,2019-07-22,11/16/21,2021-11-16,4.68,Host not instant bookable
7893625,8/2/13,2013-08-02,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,East Harlem,Manhattan,40.78995,-73.95027,Entire rental unit,Entire home/apt,4,1 bath,202,3,90,Host has availability,122,11,2/18/20,2020-02-18,11/20/21,2021-11-20,4.91,Host not instant bookable
7503643,7/15/13,2013-07-15,Within A Day,Not a Superhost,Host has a Profile Picture,Host identity verified,Greenpoint,Brooklyn,40.7254,-73.94067,Entire rental unit,Entire home/apt,4,1 bath,149,30,180,Host has availability,249,1,10/27/19,2019-10-27,10/27/19,2019-10-27,5,Host not instant bookable
7503643,7/15/13,2013-07-15,Within A Day,Not a Superhost,Host has a Profile Picture,Host identity verified,Greenpoint,Brooklyn,40.72718,-73.94193,Entire serviced apartment,Entire home/apt,4,1 bath,149,30,180,Host has availability,219,2,10/15/19,2019-10-15,10/31/21,2021-10-31,5,Host not instant bookable
7580102,7/18/13,2013-07-18,Within An Hour,Superhost,Host has a Profile Picture,Host identity verified,Midtown,Manhattan,40.76267,-73.97997,Private room in rental unit,Private room,3,1 private bath,289,3,1125,Host has availability,252,27,9/28/21,2021-09-28,11/9/21,2021-11-09,4.96,Host not instant bookable
2321783,5/8/12,2012-05-08,Within A Day,Not a Superhost,Host has a Profile Picture,Host identity verified,Spuyten Duyvil,Bronx,40.88489,-73.91597,Entire condominium (condo),Entire home/apt,6,2.5 baths,265,7,62,Host has availability,338,8,1/2/19,2019-01-02,9/6/21,2021-09-06,5,Host not instant bookable
7503643,7/15/13,2013-07-15,Within A Day,Not a Superhost,Host has a Profile Picture,Host identity verified,Greenpoint,Brooklyn,40.72735,-73.94015,Entire serviced apartment,Entire home/apt,3,1 bath,129,30,365,Host has availability,310,6,5/24/19,2019-05-24,10/25/19,2019-10-25,4.33,Host not instant bookable
